ndcg@5,precision@5,recall@5,ndcg@10,precision@10,recall@10,ndcg@20,precision@20,recall@20,ap,rr,query,query_type
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,improve documentation,task
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,integration problems,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,frontend bugs,vague
0.6164336326286644,0.6,0.06666666666666667,0.5298982599625927,0.5,0.1111111111111111,0.8367244587400149,0.75,0.3333333333333333,0.6467058285711537,1.0,infinite scroll not loading,specific
0.38356636737133565,0.4,0.044444444444444446,0.533722528236359,0.6,0.13333333333333333,0.7948784968053741,0.75,0.3333333333333333,0.6452064020717272,0.5,database connection pool exhausted,specific
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,0.75,0.3333333333333333,1.0,1.0,form validation missing,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,authentication,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.12540152804158736,0.1,0.044444444444444446,0.11875785094898704,0.07142857142857142,user management,vague
0.46905661104071605,0.8,0.13333333333333333,0.6308666123935358,0.9,0.3,0.7303273889436451,0.65,0.43333333333333335,0.7705186678400964,0.5,audit logging,feature
0.6843515475204855,0.6,0.06666666666666667,0.8579835262947783,0.7,0.15555555555555556,0.8579835262947783,0.35,0.15555555555555556,0.6710279304029305,1.0,export functionality,vague
0.13120507751234178,0.2,0.03333333333333333,0.2297956100746854,0.3,0.1,0.43624074529324774,0.45,0.3,0.4137286119158489,0.2,refactor code,task
0.15979138559512832,0.2,0.06666666666666667,0.21283678685754479,0.2,0.13333333333333333,0.21283678685754479,0.1,0.13333333333333333,0.2212070469213326,0.5,timeout after 30 seconds,technical
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,notification system,vague
1.0,1.0,0.1111111111111111,0.718362797268624,0.6,0.13333333333333333,0.8360435775477179,0.5,0.2222222222222222,0.7107902294290803,1.0,data inconsistency in users table,specific
0.34519134224686937,0.4,0.06666666666666667,0.3024038304938509,0.3,0.1,0.3978128329670876,0.35,0.23333333333333334,0.37574711118189374,0.5,support PDF export,feature
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523808,performance profiling,task
0.6164336326286644,0.6,0.2,0.6032621820619529,0.6,0.4,0.6677627500804229,0.5,0.6666666666666666,0.539907876405597,1.0,integrate with Slack,feature
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.9975106261156467,0.75,0.3333333333333333,0.9888888888888889,1.0,memory leak in backend,specific
0.46927872602275644,0.2,0.03333333333333333,0.46927872602275644,0.1,0.03333333333333333,0.59253456521548,0.1,0.06666666666666667,0.4068376068376068,1.0,500 internal server error on /api/users,technical
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,0.75,0.3333333333333333,1.0,1.0,transaction deadlock,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049728982502092,0.045454545454545456,ORM query optimization needed,technical
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08287849378881987,0.043478260869565216,database issues,vague
0.7227265726449519,0.6,0.06666666666666667,0.741670249010153,0.7,0.15555555555555556,0.8756845040563623,0.7,0.3111111111111111,0.7582996632996631,1.0,page load slow,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,security audit,task
0.7095272044910244,0.6,0.06666666666666667,0.8326783988613894,0.4,0.08888888888888889,0.8326783988613894,0.2,0.08888888888888889,0.65,1.0,search not working,vague
0.8539316501572937,0.8,0.13333333333333333,0.7631925784528223,0.7,0.23333333333333334,0.7584287167681228,0.55,0.36666666666666664,0.7117526883161559,1.0,optimize database queries,task
0.6992148198508501,0.6,0.1,0.6015720654566381,0.5,0.16666666666666666,0.6457424944748115,0.45,0.3,0.6046965214697523,1.0,add unit tests,task
0.5296347172140421,0.6,0.1,0.47674870152787446,0.5,0.16666666666666666,0.5402227654344426,0.45,0.3,0.5264510125889436,0.5,setup monitoring,task
0.8390496601388447,0.6,0.1,0.7909421648371622,0.4,0.13333333333333333,0.8377858919869996,0.25,0.16666666666666666,0.6201814058956917,1.0,unicode character encoding issue,technical
0.3156484524795145,0.4,0.06666666666666667,0.4922818839877926,0.6,0.2,0.5991680934743365,0.55,0.36666666666666664,0.5341783753721205,0.3333333333333333,401 unauthorized error,technical
1.0,1.0,0.1111111111111111,0.92663607790064,0.9,0.2,0.9759294962004678,0.75,0.3333333333333333,0.9120125792107218,1.0,high CPU usage,specific
0.3391602052736161,0.2,0.03333333333333333,0.4283650469300963,0.4,0.13333333333333333,0.719175999387262,0.65,0.43333333333333335,0.5801682064065965,1.0,password reset email not sent,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04583333333333334,0.041666666666666664,XSS in user input,technical
0.830419897363192,0.8,0.08888888888888889,0.823699893396571,0.8,0.17777777777777778,0.9459907538189345,0.75,0.3333333333333333,0.8596205102087456,1.0,query performance degradation,specific
0.6548086577531307,0.6,0.1,0.6339753813071975,0.6,0.2,0.6187625395436991,0.45,0.3,0.563299966840295,1.0,login problems,vague
0.0,0.0,0.0,0.09803928583135704,0.1,0.03333333333333333,0.1926456325380214,0.1,0.06666666666666667,0.13604452690166977,0.1,race condition in concurrent requests,technical
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,0.7,0.3111111111111111,1.0,1.0,session timeout not working,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,code review needed,task
1.0,1.0,0.1111111111111111,0.92663607790064,0.9,0.2,0.9291387108727717,0.7,0.3111111111111111,0.8714320429026311,1.0,JSON parsing error,specific
0.16958010263680806,0.2,0.03333333333333333,0.13743816645714543,0.1,0.03333333333333333,0.20963430748981277,0.1,0.06666666666666667,0.16064580879810442,0.3333333333333333,CORS error in API gateway,technical
0.36005461457723403,0.4,0.06666666666666667,0.41233703531276344,0.3,0.1,0.5692689345811988,0.25,0.16666666666666666,0.3543046787727639,0.5,validation error on form submission,technical
0.4912596920895758,0.6,0.06666666666666667,0.6698623505528799,0.8,0.17777777777777778,0.7317174861832024,0.65,0.28888888888888886,0.6732611563790054,0.5,API returns 500 error,specific
0.934397461243829,1.0,0.16666666666666666,0.8244416551652267,0.6,0.2,0.828646714170783,0.35,0.23333333333333334,0.7059651459651459,1.0,mobile responsive design,feature
0.12663167705327652,0.2,0.03333333333333333,0.12663167705327652,0.1,0.03333333333333333,0.12663167705327652,0.05,0.03333333333333333,0.1486984126984127,0.3333333333333333,NullPointerException in authentication,technical
1.0,1.0,0.3333333333333333,0.7819835854675756,0.7,0.4666666666666667,0.8149876072882879,0.6,0.8,0.7582238204206168,1.0,webhook delivery failures,specific
1.0,1.0,0.1111111111111111,0.9106108409972291,0.6,0.13333333333333333,0.9106108409972291,0.3,0.13333333333333333,0.7894503546099291,1.0,report generation,vague
0.6548086577531307,0.6,0.1,0.6331992944486873,0.6,0.2,0.877957999430386,0.75,0.5,0.7175868850791451,1.0,memory consumption over 1GB,technical
0.34519134224686937,0.4,0.06666666666666667,0.4233117951052936,0.5,0.16666666666666666,0.4071454932288373,0.35,0.23333333333333334,0.37838559938933786,0.5,bulk delete functionality,feature
0.8539316501572937,0.8,0.3333333333333333,0.7152820304657367,0.5,0.4166666666666667,0.886878983286935,0.45,0.75,0.7163220113220115,1.0,role based access control,feature
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06278388278388279,0.04,security issues,vague
0.7227265726449519,0.6,0.1,0.7552020061591157,0.5,0.16666666666666666,0.889979310267286,0.35,0.23333333333333334,0.6952991452991453,1.0,two factor authentication,feature
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.04,update API docs,task
1.0,1.0,0.1111111111111111,0.793584067764911,0.7,0.15555555555555556,0.960544324714931,0.75,0.3333333333333333,0.8627968602891205,1.0,rate limiting not enforced,specific
0.0,0.0,0.0,0.06794340091829076,0.1,0.03333333333333333,0.18181427496597025,0.15,0.1,0.1658211583222013,0.1,redis cache miss rate high,technical
